Country,TestDate,TestYear,Target Object,Interceptor,InterceptorType,Launch_Site,Launch_lat,Launch_long,Object Hit,TotalDebris,Decayed,in_orbit,Date of Final Piece Re-entry,"Lifespan of Debris 
(years on orbit or to date)"
Russia,11/1/1963,1963,None,Polyot 1,co-orbital,Baikonur,45.6232,63.314,–,0,0,0,–,0
Russia,4/12/1964,1964,None,Polyot 2,co-orbital,Baikonur,45.6232,63.314,–,0,0,0,–,0
Russia,10/27/1967,1967,None,Cosmos 185 (IS),co-orbital,Baikonur,45.6232,63.314,–,0,0,0,–,0
Russia,10/20/1968,1968,Cosmos 248,"Cosmos 249, Cosmos 252 (IS)",co-orbital,Baikonur,45.6232,63.314,Yes,252,173,79,Still On Orbit,54.99
Russia,10/23/1970,1970,Cosmos 373,"Cosmos 374, Cosmos 375(IS)",co-orbital,Baikonur,45.6232,63.314,Yes,147,112,35,Still On Orbit,52.98
Russia,2/25/1971,1971,Cosmos 394,Cosmos 397 (IS),co-orbital,Baikonur,45.6232,63.314,Yes,118,73,45,Still On Orbit,52.64
Russia,3/18/1971,1971,Cosmos 400,Cosmos 404 (IS),co-orbital,Baikonur,45.6232,63.314,–,0,0,0,–,0
Russia,12/3/1971,1971,Cosmos 459,Cosmos 462 (IS),co-orbital,Baikonur,45.6232,63.314,Yes,29,29,0,4/4/1975,3.34
Russia,2/16/1976,1976,Cosmos 803,"Cosmos 804, Cosmos 814 (IS)",co-orbital,Baikonur,45.6232,63.314,–,0,0,0,–,0
Russia,7/9/1976,1976,Cosmos 839,Cosmos 843 (IS),co-orbital,Baikonur,45.6232,63.314,–,0,0,0,–,0
Russia,12/17/1976,1976,Cosmos 880,Cosmos 886 (IS),co-orbital,Baikonur,45.6232,63.314,Yes,127,70,57,Still On Orbit,46.82
Russia,5/23/1977,1977,Cosmos 909,"Cosmos 910, Cosmos 918 (IS)",co-orbital,Baikonur,45.6232,63.314,–,0,0,0,–,0
