Country,test_date,interceptor_type,total_debris,,,,
Russia,11/1/1963,Co-orbital,0,,,,
Russia,4/12/1964,Co-orbital,0,,,,
Russia,10/27/1967,Co-orbital,0,,,,
Russia,10/20/1968,Co-orbital,252,,,,
Russia,10/23/1970,Co-orbital,147,,,,
Russia,2/25/1971,Co-orbital,118,,,,
Russia,3/18/1971,Co-orbital,0,,,,
Russia,12/3/1971,Co-orbital,29,,,,
Russia,2/16/1976,Co-orbital,0,,,,
Russia,7/9/1976,Co-orbital,0,,,,
Russia,12/17/1976,Co-orbital,127,,,,
Russia,5/23/1977,Co-orbital,0,,,,
Russia,10/26/1977,Co-orbital,0,,,,
Russia,12/21/1977,Co-orbital,0,,,,
Russia,5/19/1978,Co-orbital,73,,,,
Russia,4/18/1980,Co-orbital,48,,,,
Russia,2/2/1981,Co-orbital,0,,,,
Russia,6/18/1982,Co-orbital,64,,,,
Russia,11/20/1990,Co-orbital,0,,,,
Russia,12/20/1991,Co-orbital,0,,,,
Russia,12/26/1994,Co-orbital,27,,,,
Russia,8/12/2014,Direct Ascent,0,,,,
Russia,4/22/2015,Direct Ascent,0,,,,
Russia,10/18/2015,Direct Ascent,0,,,,
Russia,5/25/2016,Direct Ascent,0,,,,
Russia,12/16/2016,Direct Ascent,0,,,,
Russia,10/30/2017,Unknown,0,,,,
Russia,3/26/2018,Direct Ascent,0,,,,
Russia,12/23/2018,Direct Ascent,0,,,,
Russia,6/14/2019,Direct Ascent,0,,,,
Russia,08/01/19,Co-orbital,30,,,,
Russia,11/15/2019,Direct Ascent,0,,,,
Russia,4/15/2020,Direct Ascent,0,,,,
Russia,12/16/2020,Direct Ascent,0,,,,
Russia,04/01/2021,Direct Ascent,0,,,,
Russia,11/15/2021,Direct Ascent,1790,,,,
USA,9/22/1959,Direct Ascent,0,,,,
USA,10/13/1959,Direct Ascent,0,,,,
USA,10/1/1961,Direct Ascent,0,,,,
USA,10/5/1961,Direct Ascent,0,,,,
USA,3/26/1962,Direct Ascent,0,,,,
USA,5/5/1962,Direct Ascent,0,,,,
USA,8/26/1962,Direct Ascent,0,,,,
USA,12/17/1962,Direct Ascent,0,,,,
USA,2/15/1963,Direct Ascent,0,,,,
USA,3/21/1963,Direct Ascent,0,,,,
USA,4/19/1963,Direct Ascent,0,,,,
USA,5/24/ 1963,Direct Ascent,0,,,,
USA,1/4/1964,Direct Ascent,0,,,,
USA,2/14/1964,Direct Ascent,0,,,,
USA,3/1/1964,Direct Ascent,0,,,,
USA,4/21/1964,Direct Ascent,0,,,,
USA,5/28/1964,Direct Ascent,0,,,,
USA,11/16/1964,Direct Ascent,0,,,,
USA,3/1/1965,Direct Ascent,0,,,,
USA,4/5/1965,Direct Ascent,0,,,,
USA,6/1/1965,Direct Ascent,0,,,,
USA,1/13/1966,Direct Ascent,0,,,,
USA,3/30/1967,Direct Ascent,0,,,,
USA,5/15/1968,Direct Ascent,0,,,,
USA,11/21/1968,Direct Ascent,0,,,,
USA,3/28/1970,Direct Ascent,0,,,,
USA,1/21/1984,Direct Ascent,0,,,,
USA,11/13/1984,Direct Ascent,0,,,,
USA,9/13/1985,Direct Ascent,287,,,,
USA,8/22/1986,Direct Ascent,0,,,,
USA,9/5/1986,Co-orbital,17,,,,
USA,9/29/1986,Direct Ascent,0,,,,
USA,2/20/2008,Direct Ascent,175,,,,
China,7/5/2005,Direct Ascent,0,,,,
China,2/6/2006,Direct Ascent,0,,,,
China,1/11/2007,Direct Ascent,3536,,,,
China,1/11/2010,Direct Ascent,0,,,,
China,1/27/2013,Direct Ascent,0,,,,
China,5/13/2013,Direct Ascent,0,,,,
China,7/23/2014,Direct Ascent,0,,,,
China,10/30/2015,Direct Ascent,0,,,,
China,7/23/2017,Direct Ascent,0,,,,
China,2/5/2018,Direct Ascent,0,,,,
India,2/12/2019,Direct Ascent,0,,,,
India,3/27/2019,Direct Ascent,130,,,,
