launch_date,name,decay_date
2/24/1979,SOLWIND DEB,9-May-04
2/24/1979,SOLWIND DEB,6-Dec-02
2/24/1979,SOLWIND DEB,29-Nov-01
2/24/1979,SOLWIND DEB,29-May-01
2/24/1979,SOLWIND DEB,17-Dec-00
2/24/1979,SOLWIND DEB,7-Nov-00
2/24/1979,SOLWIND DEB,14-Apr-00
2/24/1979,SOLWIND DEB,24-Dec-99
2/24/1979,SOLWIND DEB,21-Dec-96
2/24/1979,SOLWIND DEB,6-Dec-92
2/24/1979,SOLWIND DEB,21-Sep-92
2/24/1979,SOLWIND,20-Jul-92
2/24/1979,SOLWIND DEB,10-Nov-91
2/24/1979,SOLWIND DEB,22-Oct-91
2/24/1979,SOLWIND DEB,10-Sep-91
2/24/1979,SOLWIND DEB,4-May-91
2/24/1979,SOLWIND DEB,27-Feb-91
2/24/1979,SOLWIND DEB,23-Jun-90
2/24/1979,SOLWIND DEB,12-May-90
2/24/1979,SOLWIND DEB,28-Mar-90
2/24/1979,SOLWIND DEB *,21-Mar-90
2/24/1979,SOLWIND DEB,14-Feb-90
2/24/1979,SOLWIND DEB,2-Jan-90
2/24/1979,SOLWIND DEB,27-Dec-89
2/24/1979,SOLWIND DEB,21-Dec-89
2/24/1979,SOLWIND DEB,22-Nov-89
2/24/1979,SOLWIND DEB,11-Nov-89
2/24/1979,SOLWIND DEB,6-Nov-89
2/24/1979,SOLWIND DEB,30-Oct-89
2/24/1979,SOLWIND DEB,27-Oct-89
2/24/1979,SOLWIND DEB,7-Oct-89
2/24/1979,SOLWIND DEB,25-Aug-89
2/24/1979,SOLWIND DEB,24-Aug-89
2/24/1979,SOLWIND DEB,20-Aug-89
2/24/1979,SOLWIND DEB,11-Aug-89
2/24/1979,SOLWIND DEB,5-Aug-89
2/24/1979,SOLWIND DEB,2-Aug-89
2/24/1979,SOLWIND DEB,22-Jun-89
2/24/1979,SOLWIND DEB,23-May-89
2/24/1979,SOLWIND DEB,21-May-89
2/24/1979,SOLWIND DEB,20-May-89
2/24/1979,SOLWIND DEB,19-May-89
2/24/1979,SOLWIND DEB,1-May-89
2/24/1979,SOLWIND DEB,26-Apr-89
2/24/1979,SOLWIND DEB,21-Apr-89
2/24/1979,SOLWIND DEB,17-Apr-89
2/24/1979,SOLWIND DEB,7-Apr-89
2/24/1979,SOLWIND DEB,6-Apr-89
2/24/1979,SOLWIND DEB,28-Mar-89
2/24/1979,SOLWIND DEB,26-Mar-89
2/24/1979,SOLWIND DEB,23-Mar-89
2/24/1979,SOLWIND DEB,21-Mar-89
2/24/1979,SOLWIND DEB,17-Mar-89
2/24/1979,SOLWIND DEB,13-Mar-89
2/24/1979,SOLWIND DEB,12-Mar-89
2/24/1979,SOLWIND DEB,10-Mar-89
2/24/1979,SOLWIND DEB,26-Feb-89
2/24/1979,SOLWIND DEB,20-Feb-89
2/24/1979,SOLWIND DEB,15-Feb-89
2/24/1979,SOLWIND DEB,13-Feb-89
2/24/1979,SOLWIND DEB,12-Feb-89
2/24/1979,SOLWIND DEB,9-Feb-89
2/24/1979,SOLWIND DEB,4-Feb-89
2/24/1979,SOLWIND DEB,2-Feb-89
2/24/1979,SOLWIND DEB,1-Feb-89
2/24/1979,SOLWIND DEB,30-Jan-89
2/24/1979,SOLWIND DEB,27-Jan-89
2/24/1979,SOLWIND DEB,23-Jan-89
2/24/1979,SOLWIND DEB,22-Jan-89
2/24/1979,SOLWIND DEB,19-Jan-89
2/24/1979,SOLWIND DEB,17-Jan-89
2/24/1979,SOLWIND DEB,15-Jan-89
2/24/1979,SOLWIND DEB,12-Jan-89
2/24/1979,SOLWIND DEB,29-Dec-88
2/24/1979,SOLWIND DEB,28-Dec-88
2/24/1979,SOLWIND DEB,27-Dec-88
2/24/1979,SOLWIND DEB,24-Dec-88
2/24/1979,SOLWIND DEB,16-Dec-88
2/24/1979,SOLWIND DEB,11-Dec-88
2/24/1979,SOLWIND DEB,10-Dec-88
2/24/1979,SOLWIND DEB,1-Dec-88
2/24/1979,SOLWIND DEB,30-Nov-88
2/24/1979,SOLWIND DEB,23-Nov-88
2/24/1979,SOLWIND DEB,20-Nov-88
2/24/1979,SOLWIND DEB,14-Nov-88
2/24/1979,SOLWIND DEB,13-Nov-88
2/24/1979,SOLWIND DEB,11-Nov-88
2/24/1979,SOLWIND DEB,10-Nov-88
2/24/1979,SOLWIND DEB,4-Nov-88
2/24/1979,SOLWIND DEB,31-Oct-88
2/24/1979,SOLWIND DEB,29-Oct-88
2/24/1979,SOLWIND DEB,28-Oct-88
2/24/1979,SOLWIND DEB,20-Oct-88
2/24/1979,SOLWIND DEB,14-Oct-88
2/24/1979,SOLWIND DEB,12-Oct-88
2/24/1979,SOLWIND DEB,10-Oct-88
2/24/1979,SOLWIND DEB,7-Oct-88
2/24/1979,SOLWIND DEB,5-Oct-88
2/24/1979,SOLWIND DEB,3-Oct-88
2/24/1979,SOLWIND DEB,28-Sep-88
2/24/1979,SOLWIND DEB,24-Sep-88
2/24/1979,SOLWIND DEB,22-Sep-88
2/24/1979,SOLWIND DEB,19-Sep-88
2/24/1979,SOLWIND DEB,16-Sep-88
2/24/1979,SOLWIND DEB,9-Sep-88
2/24/1979,SOLWIND DEB,7-Sep-88
2/24/1979,SOLWIND DEB,31-Aug-88
2/24/1979,SOLWIND DEB,26-Aug-88
2/24/1979,SOLWIND DEB,9-Aug-88
2/24/1979,SOLWIND DEB,8-Aug-88
2/24/1979,SOLWIND DEB,6-Aug-88
2/24/1979,SOLWIND DEB,5-Aug-88
2/24/1979,SOLWIND DEB,29-Jul-88
2/24/1979,SOLWIND DEB,23-Jul-88
2/24/1979,SOLWIND DEB,16-Jul-88
2/24/1979,SOLWIND DEB,15-Jul-88
2/24/1979,SOLWIND DEB,13-Jul-88
2/24/1979,SOLWIND DEB,12-Jul-88
2/24/1979,SOLWIND DEB,9-Jul-88
2/24/1979,SOLWIND DEB,2-Jul-88
2/24/1979,SOLWIND DEB,1-Jul-88
2/24/1979,SOLWIND DEB,27-Jun-88
2/24/1979,SOLWIND DEB,25-Jun-88
2/24/1979,SOLWIND DEB,19-Jun-88
2/24/1979,SOLWIND DEB,17-Jun-88
2/24/1979,SOLWIND DEB,12-Jun-88
2/24/1979,SOLWIND DEB,4-Jun-88
2/24/1979,SOLWIND DEB,1-Jun-88
2/24/1979,SOLWIND DEB,25-May-88
2/24/1979,SOLWIND DEB,11-May-88
2/24/1979,SOLWIND DEB,6-May-88
2/24/1979,SOLWIND DEB,29-Apr-88
2/24/1979,SOLWIND DEB,28-Apr-88
2/24/1979,SOLWIND DEB,13-Apr-88
2/24/1979,SOLWIND DEB,8-Apr-88
2/24/1979,SOLWIND DEB,6-Apr-88
2/24/1979,SOLWIND DEB,4-Apr-88
2/24/1979,SOLWIND DEB,3-Apr-88
2/24/1979,SOLWIND DEB,24-Mar-88
2/24/1979,SOLWIND DEB,16-Mar-88
2/24/1979,SOLWIND DEB,4-Mar-88
2/24/1979,SOLWIND DEB,21-Feb-88
2/24/1979,SOLWIND DEB,12-Feb-88
2/24/1979,SOLWIND DEB,30-Jan-88
2/24/1979,SOLWIND DEB,29-Jan-88
2/24/1979,SOLWIND DEB,28-Jan-88
2/24/1979,SOLWIND DEB,27-Jan-88
2/24/1979,SOLWIND DEB,24-Jan-88
2/24/1979,SOLWIND DEB,21-Jan-88
2/24/1979,SOLWIND DEB,20-Jan-88
2/24/1979,SOLWIND DEB,16-Jan-88
2/24/1979,SOLWIND DEB,14-Jan-88
2/24/1979,SOLWIND DEB,9-Jan-88
2/24/1979,SOLWIND DEB,3-Jan-88
2/24/1979,SOLWIND DEB,21-Dec-87
2/24/1979,SOLWIND DEB,17-Dec-87
2/24/1979,SOLWIND DEB,12-Dec-87
2/24/1979,SOLWIND DEB,11-Dec-87
2/24/1979,SOLWIND DEB,3-Dec-87
2/24/1979,SOLWIND DEB,29-Nov-87
2/24/1979,SOLWIND DEB,27-Nov-87
2/24/1979,SOLWIND DEB,15-Nov-87
2/24/1979,SOLWIND DEB,13-Nov-87
2/24/1979,SOLWIND DEB,10-Nov-87
2/24/1979,SOLWIND DEB,30-Oct-87
2/24/1979,SOLWIND DEB,28-Oct-87
2/24/1979,SOLWIND DEB,26-Oct-87
2/24/1979,SOLWIND DEB,22-Oct-87
2/24/1979,SOLWIND DEB,21-Oct-87
2/24/1979,SOLWIND DEB,18-Oct-87
2/24/1979,SOLWIND DEB,14-Oct-87
2/24/1979,SOLWIND DEB,13-Oct-87
2/24/1979,SOLWIND DEB,12-Oct-87
2/24/1979,SOLWIND DEB,10-Oct-87
2/24/1979,SOLWIND DEB,18-Sep-87
2/24/1979,SOLWIND DEB,12-Sep-87
2/24/1979,SOLWIND DEB,11-Sep-87
2/24/1979,SOLWIND DEB,2-Sep-87
2/24/1979,SOLWIND DEB,30-Aug-87
2/24/1979,SOLWIND DEB,16-Aug-87
2/24/1979,SOLWIND DEB,15-Aug-87
2/24/1979,SOLWIND DEB,8-Aug-87
2/24/1979,SOLWIND DEB,29-Jul-87
2/24/1979,SOLWIND DEB,22-Jul-87
2/24/1979,SOLWIND DEB,17-Jul-87
2/24/1979,SOLWIND DEB,9-Jul-87
2/24/1979,SOLWIND DEB,8-Jul-87
2/24/1979,SOLWIND DEB,23-Jun-87
2/24/1979,SOLWIND DEB,7-Jun-87
2/24/1979,SOLWIND DEB,5-Jun-87
2/24/1979,SOLWIND DEB,30-May-87
2/24/1979,SOLWIND DEB,27-May-87
2/24/1979,SOLWIND DEB,10-May-87
2/24/1979,SOLWIND DEB,6-May-87
2/24/1979,SOLWIND DEB,1-May-87
2/24/1979,SOLWIND DEB,24-Apr-87
2/24/1979,SOLWIND DEB,23-Apr-87
2/24/1979,SOLWIND DEB,20-Apr-87
2/24/1979,SOLWIND DEB,19-Apr-87
2/24/1979,SOLWIND DEB,22-Mar-87
2/24/1979,SOLWIND DEB,14-Mar-87
2/24/1979,SOLWIND DEB,13-Mar-87
2/24/1979,SOLWIND DEB,11-Mar-87
2/24/1979,SOLWIND DEB,24-Feb-87
2/24/1979,SOLWIND DEB,23-Feb-87
2/24/1979,SOLWIND DEB,14-Feb-87
2/24/1979,SOLWIND DEB,6-Jan-87
2/24/1979,SOLWIND DEB,20-Dec-86
2/24/1979,SOLWIND DEB,11-Dec-86
2/24/1979,SOLWIND DEB,2-Dec-86
2/24/1979,SOLWIND DEB,25-Nov-86
2/24/1979,SOLWIND DEB,21-Nov-86
2/24/1979,SOLWIND DEB,15-Nov-86
2/24/1979,SOLWIND DEB,7-Nov-86
2/24/1979,SOLWIND DEB,5-Nov-86
2/24/1979,SOLWIND DEB,30-Oct-86
2/24/1979,SOLWIND DEB,28-Oct-86
2/24/1979,SOLWIND DEB,25-Oct-86
2/24/1979,SOLWIND DEB,19-Oct-86
2/24/1979,SOLWIND DEB,17-Oct-86
2/24/1979,SOLWIND DEB,16-Oct-86
2/24/1979,SOLWIND DEB,3-Oct-86
2/24/1979,SOLWIND DEB,27-Sep-86
2/24/1979,SOLWIND DEB,22-Sep-86
2/24/1979,SOLWIND DEB,2-Sep-86
2/24/1979,SOLWIND DEB,26-Aug-86
2/24/1979,SOLWIND DEB,26-Jul-86
2/24/1979,SOLWIND DEB,23-Jul-86
2/24/1979,SOLWIND DEB,9-Jul-86
2/24/1979,SOLWIND DEB,27-Jun-86
2/24/1979,SOLWIND DEB,20-Jun-86
2/24/1979,SOLWIND DEB,19-Jun-86
2/24/1979,SOLWIND DEB,8-Jun-86
2/24/1979,SOLWIND DEB,20-May-86
2/24/1979,SOLWIND DEB,19-May-86
2/24/1979,SOLWIND DEB,12-May-86
2/24/1979,SOLWIND DEB,11-May-86
2/24/1979,SOLWIND DEB,8-May-86
2/24/1979,SOLWIND DEB,4-May-86
2/24/1979,SOLWIND DEB,29-Apr-86
2/24/1979,SOLWIND DEB,21-Apr-86
2/24/1979,SOLWIND DEB,17-Apr-86
2/24/1979,SOLWIND DEB,13-Apr-86
2/24/1979,SOLWIND DEB,11-Apr-86
2/24/1979,SOLWIND DEB,28-Mar-86
2/24/1979,SOLWIND DEB,25-Mar-86
2/24/1979,SOLWIND DEB,20-Mar-86
2/24/1979,SOLWIND DEB,6-Mar-86
2/24/1979,SOLWIND DEB,3-Mar-86
2/24/1979,SOLWIND DEB,1-Mar-86
2/24/1979,SOLWIND DEB,15-Feb-86
2/24/1979,SOLWIND DEB,12-Feb-86
2/24/1979,SOLWIND DEB,10-Feb-86
2/24/1979,SOLWIND DEB,4-Feb-86
2/24/1979,SOLWIND DEB,28-Jan-86
2/24/1979,SOLWIND DEB,25-Jan-86
2/24/1979,SOLWIND DEB,22-Jan-86
2/24/1979,SOLWIND DEB,21-Jan-86
2/24/1979,SOLWIND DEB,2-Jan-86
2/24/1979,SOLWIND DEB,1-Jan-86
2/24/1979,SOLWIND DEB,20-Dec-85
2/24/1979,SOLWIND DEB,18-Dec-85
2/24/1979,SOLWIND DEB,15-Dec-85
2/24/1979,SOLWIND DEB,24-Oct-85
2/24/1979,SOLWIND DEB,10-Oct-85
2/24/1979,SOLWIND DEB,8-Oct-85
2/24/1979,ATLAS DEB,27-Feb-82
2/24/1979,ATLAS DEB,29-Jul-79
9/5/1986,USA 19 DEB,14-Apr-87
9/5/1986,DELTA 1 DEB,30-Mar-87
9/5/1986,USA 19 DEB,20-Mar-87
9/5/1986,USA 19 DEB,24-Dec-86
9/5/1986,USA 19 DEB,11-Dec-86
9/5/1986,DELTA 1 DEB,15-Nov-86
9/5/1986,USA 19 DEB,31-Oct-86
9/5/1986,USA 19 DEB,29-Oct-86
9/5/1986,USA 19 DEB,26-Oct-86
9/5/1986,USA 19 DEB,23-Oct-86
9/5/1986,USA 19 DEB,21-Oct-86
9/5/1986,USA 19,28-Sep-86
9/5/1986,USA 19 DEB,24-Sep-86
9/5/1986,DELTA 1 DEB,23-Sep-86
9/5/1986,DELTA 1 DEB,16-Sep-86
9/5/1986,USA 19 DEB,13-Sep-86
12/14/2006,USA 193 DEB,28-Oct-09
12/14/2006,USA 193 DEB,9-Oct-08
12/14/2006,USA 193 DEB,30-Aug-08
12/14/2006,USA 193 DEB,22-Jun-08
12/14/2006,USA 193 DEB,19-Jun-08
12/14/2006,USA 193 DEB,14-Jun-08
12/14/2006,USA 193 DEB,13-Jun-08
12/14/2006,USA 193 DEB,8-Jun-08
12/14/2006,USA 193 DEB,30-May-08
12/14/2006,USA 193 DEB,25-May-08
12/14/2006,USA 193 DEB,22-May-08
12/14/2006,USA 193 DEB,21-May-08
12/14/2006,USA 193 DEB,19-May-08
12/14/2006,USA 193 DEB,8-May-08
12/14/2006,USA 193 DEB,6-May-08
12/14/2006,USA 193 DEB,4-May-08
12/14/2006,USA 193 DEB,3-May-08
12/14/2006,USA 193 DEB,25-Apr-08
12/14/2006,USA 193 DEB,24-Apr-08
12/14/2006,USA 193 DEB,21-Apr-08
12/14/2006,USA 193 DEB,18-Apr-08
12/14/2006,USA 193 DEB,17-Apr-08
12/14/2006,USA 193 DEB,15-Apr-08
12/14/2006,USA 193 DEB,12-Apr-08
12/14/2006,USA 193 DEB,11-Apr-08
12/14/2006,USA 193 DEB,9-Apr-08
12/14/2006,USA 193 DEB,8-Apr-08
12/14/2006,USA 193 DEB,7-Apr-08
12/14/2006,USA 193 DEB,6-Apr-08
12/14/2006,USA 193 DEB,5-Apr-08
12/14/2006,USA 193 DEB,3-Apr-08
12/14/2006,USA 193 DEB,2-Apr-08
12/14/2006,USA 193 DEB,1-Apr-08
12/14/2006,USA 193 DEB,31-Mar-08
12/14/2006,USA 193 DEB,30-Mar-08
12/14/2006,USA 193 DEB,29-Mar-08
12/14/2006,USA 193 DEB,28-Mar-08
12/14/2006,USA 193 DEB,27-Mar-08
12/14/2006,USA 193 DEB,26-Mar-08
12/14/2006,USA 193 DEB,25-Mar-08
12/14/2006,USA 193 DEB,24-Mar-08
12/14/2006,USA 193 DEB,23-Mar-08
12/14/2006,USA 193 DEB,22-Mar-08
12/14/2006,USA 193 DEB,21-Mar-08
12/14/2006,USA 193 DEB,20-Mar-08
12/14/2006,USA 193 DEB,19-Mar-08
12/14/2006,USA 193 DEB,18-Mar-08
12/14/2006,USA 193 DEB,17-Mar-08
12/14/2006,USA 193 DEB,16-Mar-08
12/14/2006,USA 193 DEB,15-Mar-08
12/14/2006,USA 193 DEB,14-Mar-08
12/14/2006,USA 193 DEB,13-Mar-08
12/14/2006,USA 193 DEB,12-Mar-08
12/14/2006,USA 193 DEB,11-Mar-08
12/14/2006,USA 193 DEB,10-Mar-08
12/14/2006,USA 193 DEB,9-Mar-08
12/14/2006,USA 193 DEB,8-Mar-08
12/14/2006,USA 193 DEB,7-Mar-08
12/14/2006,USA 193 DEB,6-Mar-08
12/14/2006,USA 193 DEB,5-Mar-08
12/14/2006,USA 193 DEB,4-Mar-08
12/14/2006,USA 193 DEB,2-Mar-08
12/14/2006,USA 193 DEB,1-Mar-08
12/14/2006,USA 193 DEB,29-Feb-08
12/14/2006,USA 193,29-Feb-08
12/14/2006,USA 193 DEB,27-Feb-08
